,Month,naics_description,product_or_service_code_description,total_obligated_amount,recipient_name,funding_sub_agency_name,"Natural gas, US",mm,yyyy
8062,2020M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.74,7,2020
8064,2021M09,NATURAL GAS EXTRACTION,UTILITIES- GAS,269414.97,,OTHER,5.11,9,2021
8065,2019M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,11548.88,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.63,5,2019
8077,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,113666.08,"TIGER NATURAL GAS, INC.",OTHER,2.86,10,2017
8083,2020M02,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,123513.67,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,1.92,2,2020
8090,2016M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1989.17,LIQUIGAS SPA,DEPT OF THE ARMY,1.96,2,2016
8096,2019M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.33,10,2019
8115,2020M11,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,35759.71,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.59,11,2020
8116,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,295339.33,"SAGE ENERGY TRADING, LLC",OTHER,2.86,10,2017
8117,2017M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,72366.71,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,3.26,1,2017
8128,2021M03,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.56,3,2021
8132,2021M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"INSPECTION- FUELS, LUBRICANTS, OILS, AND WAXES",62492,,OTHER,3.8,7,2021
8133,2016M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",5234.25,"BECK OIL, INC.",OTHER,1.9,4,2016
8140,2019M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,13008.06,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.65,4,2019
8149,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,107701.25,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.25,10,2020
8151,2018M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- PROFESSIONAL: OTHER,30486.78,"DAWSON ENTERPRISES, INC.",OTHER,2.96,8,2018
8155,2020M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.61,6,2020
8161,2019M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,68506.37,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.33,10,2019
8162,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"FUELS, SOLID",350535.08,"DELTA COALS, LLC",OTHER,2.79,7,2016
8169,2018M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,6432,MARCUM OIL CO INC,OTHER,3.86,1,2018
8179,2019M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,REPAIR OR ALTERATION OF FUEL SUPPLY FACILITIES,6735,"CLEAN FUELS ASSOCIATES, INC.",OTHER,2.36,7,2019
8184,2018M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,76879.73,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.8,5,2018
8189,2020M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,29516.2,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,1.74,7,2020
8191,2019M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,GASES: COMPRESSED AND LIQUEFIED,29426.56,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.4,6,2019
8192,2021M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,294,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.67,1,2021
8196,2018M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,18419.53,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,4.13,11,2018
8199,2018M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.98,12,2018
8205,2018M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,219249.67,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.78,4,2018
8225,2018M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"FUELS, SOLID",183.68,MISCELLANEOUS FOREIGN AWARDEES,OTHER,2.98,9,2018
8227,2021M05,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,92127.84,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.89,5,2021
8228,2019M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,4,2019
8238,2021M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,12364.29,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.89,5,2021
8241,2020M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,34012.02,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,1.74,7,2020
8244,2019M04,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,398761.6,"ENSPIRE ENERGY, LLC",OTHER,2.65,4,2019
8259,2019M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,75632.42,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.63,5,2019
8265,2018M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,2099.33,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.7,3,2018
8266,2017M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,4593.59,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.86,10,2017
8267,2017M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,372898.29,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,3.26,1,2017
8280,2020M06,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,5300.61,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,1.61,6,2020
8292,2017M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,25349.75,"MARK J. TRAUT WELLS, INC",OTHER,2.94,6,2017
8302,2017M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",10954.53,"SUN COAST RESOURCES, INC.",OTHER,2.96,9,2017
8303,2019M11,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,11,2019
8304,2018M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.98,12,2018
8312,2018M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,2098.62,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.96,8,2018
8315,2021M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.67,1,2021
8321,2016M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,15684.6,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,1.96,2,2016
8326,2019M11,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,11,2019
8328,2017M07,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",300,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.96,7,2017
8338,2021M01,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,94342.37,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.67,1,2021
8340,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"OTHER QC/TEST/INSPECT- FUELS, LUBRICANTS, OILS, AND WAXES",22932.26,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",1.92,9,2020
8345,2021M09,NATURAL GAS EXTRACTION,"LIQUID PROPELLANT FUELS AND OXIDIZERS, CHEMICAL BASE",25852,"TIGER NATURAL GAS, INC.",DEPT OF THE ARMY,5.11,9,2021
8347,2019M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,392,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.08,1,2019
8374,2018M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,270339.19,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.78,4,2018
8376,2017M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,221520.78,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.82,2,2017
8380,2016M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,17514.12,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,2.79,8,2016
8397,2018M11,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,12017.23,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",4.13,11,2018
8414,2021M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.67,1,2021
8421,2017M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,4143.75,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",3.26,1,2017
8427,2018M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,302598.35,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,3.28,10,2018
8430,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,104010.7,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.86,10,2017
8433,2019M11,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,8000,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.65,11,2019
8440,2019M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,392,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,4,2019
8446,2019M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,12224.23,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.58,9,2019
8452,2016M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,REPAIR OR ALTERATION OF FUEL SUPPLY FACILITIES,274366.67,"H&O CONTRACTING, LLC",DEPT OF THE ARMY,2.79,7,2016
8472,2020M01,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,214974.58,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.03,1,2020
8481,2018M10,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,LEASE OR RENTAL OF EQUIPMENT- MISCELLANEOUS,210710,WAYPOINT LLC,OTHER,3.28,10,2018
8483,2019M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1176,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.36,7,2019
8489,2020M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.92,2,2020
8499,2019M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,267627.42,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.72,2,2019
8507,2020M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,198853.43,"ENSPIRE ENERGY, LLC",OTHER,1.92,9,2020
8509,2018M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,14033.24,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.8,5,2018
8512,2017M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,7633.95,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.82,2,2017
8520,2016M12,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,36566064.96,"POND CONSTRUCTORS, INC",OTHER,3.58,12,2016
8531,2019M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.33,10,2019
8542,2017M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,145105.04,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.89,3,2017
8545,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,24217.7,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.25,10,2020
8571,2021M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,5.07,2,2021
8579,2017M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,19299.08,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.86,10,2017
8595,2019M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,55000,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",OTHER,2.24,12,2019
8607,2017M03,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,14024.95,"OLGOONIK OILFIELD SERVICES, LLC",OTHER,2.89,3,2017
8608,2020M06,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,7258.13,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,1.61,6,2020
8615,2019M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,12162.84,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.63,5,2019
8625,2020M03,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,122034.67,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,1.79,3,2020
8635,2020M03,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.79,3,2020
8641,2019M03,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,11213.46,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.94,3,2019
8643,2018M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.98,12,2018
8646,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,455659.9,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.25,10,2020
8651,2021M01,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,843468.65,"ENSPIRE ENERGY, LLC",OTHER,2.67,1,2021
8655,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INFORMATION TECHNOLOGY SOFTWARE,91800,CGG SERVICES (U.S.) INC.,OTHER,1.92,9,2020
8657,2018M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,53377.8,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,3.86,1,2018
8665,2019M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,15571.39,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.22,8,2019
8678,2020M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.25,10,2020
8686,2019M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,35913.44,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.36,7,2019
8688,2019M10,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INSPECTION- MISCELLANEOUS,4700,"BILLY PAPE PLUMBING, INC.",OTHER,2.33,10,2019
8695,2020M01,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,217274.3,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.03,1,2020
8696,2019M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,189258.31,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.94,3,2019
8699,2017M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",2730,MARCUM OIL CO INC,OTHER,2.88,8,2017
8703,2021M05,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,363000,,OTHER,2.89,5,2021
8707,2019M05,NATURAL GAS EXTRACTION,UTILITIES- GAS,80993.47,BP ENERGY COMPANY,OTHER,2.63,5,2019
8728,2016M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,83508.31,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,1.9,4,2016
8743,2019M05,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,423960.89,"ENSPIRE ENERGY, LLC",OTHER,2.63,5,2019
8747,2018M08,NATURAL GAS EXTRACTION,UTILITIES- GAS,25077.39,"AMERESCO SELECT, INC.",DEPT OF THE ARMY,2.96,8,2018
8749,2018M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1695250,"ENSPIRE ENERGY, LLC",OTHER,3.86,1,2018
8753,2019M10,NATURAL GAS EXTRACTION,UTILITIES- GAS,318421.35,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",OTHER,2.33,10,2019
8777,2019M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,4,2019
8783,2017M11,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,9111,MARCUM OIL CO INC,OTHER,2.99,11,2017
8784,2021M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL LICENSING AND PERMITTING,2700,OPTIMAL TANK SOLUTIONS LLC,OTHER,3.8,7,2021
8785,2020M06,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,190859.78,"ENSPIRE ENERGY, LLC",OTHER,1.61,6,2020
8786,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,128963.27,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,3.12,5,2017
8789,2017M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,209373.73,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.89,3,2017
8798,2018M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,26029.45,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.95,6,2018
8800,2018M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,453908.9,"ENSPIRE ENERGY, LLC",OTHER,2.96,8,2018
8802,2021M01,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,46379.71,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.67,1,2021
8803,2019M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,119.18,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.4,6,2019
8814,2018M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,733625,"ENSPIRE ENERGY, LLC",OTHER,3.86,1,2018
8838,2017M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,4938.82,LIQUIGAS SPA,DEPT OF THE ARMY,2.88,8,2017
8840,2020M03,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,81697.65,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,1.79,3,2020
8842,2019M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),892919,"NORTH WIND SITE SERVICES, LLC",OTHER,2.58,9,2019
8853,2018M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,5507,"MARK J. TRAUT WELLS, INC",OTHER,2.95,6,2018
8862,2018M12,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"FUELS, SOLID",444.61,MISCELLANEOUS FOREIGN AWARDEES,OTHER,3.98,12,2018
8867,2017M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,21820.49,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.88,8,2017
8873,2019M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,285157.29,"TIGER NATURAL GAS, INC.",OTHER,2.33,10,2019
8895,2018M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,6351.46,"SAGE ENERGY TRADING, LLC",OTHER,2.96,8,2018
8897,2019M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.63,5,2019
8900,2019M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.72,2,2019
8908,2020M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.74,4,2020
8909,2017M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,2060.76,WESTFA VERTRIEBS- UND VERWALTUNGS-GMBH,DEPT OF THE AIR FORCE,3.08,4,2017
8910,2019M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,294,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.58,9,2019
8914,2019M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,25000,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.33,10,2019
8916,2019M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.22,8,2019
8918,2021M01,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,779316.65,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.67,1,2021
8927,2019M10,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",14302,"GENESIS ENVIRONMENTAL SOLUTIONS, INC.",OTHER,2.33,10,2019
8930,2017M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",8818,MARCUM OIL CO INC,OTHER,2.88,8,2017
8946,2019M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,HOUSEKEEPING- FUELING AND OTHER PETROLEUM,48090.86,MIDLAND SERVICES INC,OTHER,2.36,7,2019
8949,2018M09,NATURAL GAS EXTRACTION,"FUELS, SOLID",15635.78,"POTTER OIL & TIRE COMPANY, INC",OTHER,2.98,9,2018
8955,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,9975,"CORRIGAN OIL II, INC.",OTHER,1.92,9,2020
8971,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,127192.66,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.86,10,2017
8978,2019M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,200000,WASHINGTON GAS ENERGY SERVICES INC,OTHER,2.33,10,2019
8980,2019M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,8913.12,"DIRECT ENERGY BUSINESS MARKETING, LLC",OTHER,2.63,5,2019
8981,2020M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1176,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.3,8,2020
