total_obligated_amount,Month,product_or_service_code_description,naics_description,recipient_name,funding_sub_agency_name
0.0,2016M05,WATER PURIFICATION EQUIPMENT,OTHER CHEMICAL AND FERTILIZER MINERAL MINING,"BOSMA INDUSTRIES FOR THE BLIND, INC.","VETERANS AFFAIRS, DEPARTMENT OF"
6889.81,2016M01,CONSTRUCTION OF AMMUNITION STORAGE BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
8955.44,2020M10,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
35640.0,2016M09,"BEARINGS, ANTIFRICTION, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,HONEYWELL INTERNATIONAL INC,DEFENSE LOGISTICS AGENCY
333789.0,2018M12,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),"PALMERTON & PARRISH, INC.",DEPT OF THE ARMY
20088.0,2019M08,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,BSE PERFORMANCE LLC,DEPT OF THE ARMY
281930.6,2020M03,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY
4165.44,2018M05,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
287.84,2020M07,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
80.0,2017M12,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
8512.46,2018M01,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
320.65,2019M10,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
12459.75,2020M02,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"BRADLEY CONTRACTING, INC.",U.S. FISH AND WILDLIFE SERVICE
107.88,2019M04,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"DAVIS AIRCRAFT PRODUCTS CO., INC.",DEFENSE LOGISTICS AGENCY
11569.77,2020M11,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
206.0,2018M08,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,KATECO ELECTRONICS,DEFENSE LOGISTICS AGENCY
13430.0,2018M09,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",DIMENSION STONE MINING AND QUARRYING,"N. R. HAMM QUARRY, INC.",DEPT OF THE ARMY
15319.5,2021M09,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,CLANCY EXCAVATING CO,DEPT OF THE AIR FORCE
499660.0,2020M09,NATURAL RESOURCES/CONSERVATION- SURFACE MINING RECLAMATION (NON-CONSTRUCTION),CONSTRUCTION SAND AND GRAVEL MINING,"J BROTHERS TRUCKING & EXCAVATION, LLC",DEPT OF THE AIR FORCE
26887.17,2021M05,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,SALEM STONE CORPORATION,FOREST SERVICE
15457.65,2018M10,FUEL OILS,DRILLING OIL AND GAS WELLS,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
4057657.5,2019M09,IRON AND STEEL PRIMARY AND SEMIFINISHED PRODUCTS,ALL OTHER METAL ORE MINING,"CBMM NORTH AMERICA, INC",DEFENSE LOGISTICS AGENCY
126.57,2020M03,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",NATURAL GAS EXTRACTION,BSE PERFORMANCE LLC,DEPT OF THE ARMY
0.0,2021M09,MISCELLANEOUS CONSTRUCTION MATERIALS,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,PATRICK ENVIRONMENTAL GROUP,BUREAU OF LAND MANAGEMENT
99965.17,2016M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,W W D CORPORATION,BUREAU OF LAND MANAGEMENT
1475.15,2016M10,"HARDWARE, WEAPON SYSTEM",SUPPORT ACTIVITIES FOR COAL MINING,BDS SUPPLY,DEFENSE LOGISTICS AGENCY
98.0,2021M04,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
191000.0,2021M05,HOUSEKEEPING- FUELING AND OTHER PETROLEUM,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"RAINY LAKE OIL, INC.",NATIONAL PARK SERVICE
490.0,2019M04,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
2380.98,2016M09,CLAY AND CONCRETE PRODUCTS INDUSTRIES MACHINERY,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
1095.86,2017M06,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"DREAMFIND, INC.",DEFENSE LOGISTICS AGENCY
0.0,2018M08,SCAFFOLDING EQUIPMENT AND CONCRETE FORMS,CONSTRUCTION SAND AND GRAVEL MINING,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
1216.6,2018M04,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
15000.0,2019M05,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
5350.0,2018M01,POWER AND HAND PUMPS,CRUDE PETROLEUM EXTRACTION,"CUMMINS-WAGNER COMPANY, INC.",DEPT OF THE NAVY
57355.91,2018M04,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,AMERICAN CLASSIC CONSTRUCTION INC.,U.S. FISH AND WILDLIFE SERVICE
26400.0,2016M08,"BEARINGS, ANTIFRICTION, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,HONEYWELL INTERNATIONAL INC,DEFENSE LOGISTICS AGENCY
84992.16,2019M07,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,AMERICAN CLASSIC CONSTRUCTION INC.,NATIONAL PARK SERVICE
640.64,2019M03,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
3744.0,2016M05,O-RING,SUPPORT ACTIVITIES FOR COAL MINING,VACCO INDUSTRIES,DEFENSE LOGISTICS AGENCY
2449.98,2017M09,"LIQUID AND GAS FLOW, LIQUID LEVEL, AND MECHANICAL MOTION MEASURING INSTRUMENTS",SUPPORT ACTIVITIES FOR COAL MINING,CLARK BROTHERS INSTRUMENT COMPANY,DEFENSE LOGISTICS AGENCY
100.0,2020M07,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,EQUIPMENT PARTS SALES,DEFENSE LOGISTICS AGENCY
4869.0,2018M04,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
442.0,2019M09,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,ULTRA INDUSTRIES INC.,DEFENSE LOGISTICS AGENCY
5050.0,2017M09,CONSTRUCTION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
52159.07,2016M08,CONSTRUCTION OF FAMILY HOUSING FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
20557.91,2017M09,"OPERATION OF HIGHWAYS, ROADS, STREETS, BRIDGES, AND RAILWAYS",CONSTRUCTION SAND AND GRAVEL MINING,KNIFE RIVER CORPORATION - NORTH CENTRAL,U.S. FISH AND WILDLIFE SERVICE
1940612.45,2018M05,UTILITIES- GAS,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"TIGER NATURAL GAS, INC.",NATIONAL AERONAUTICS AND SPACE ADMINISTRATION
224000.0,2017M02,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
78435.0,2019M07,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"YALE CREEK, INC.",U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY
7189.45,2021M07,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,BRUCH AND BRUCH CONSTRUCTION INC,NATIONAL PARK SERVICE
654.84,2021M01,"BUSHINGS, RINGS, SHIMS, AND SPACERS",SUPPORT ACTIVITIES FOR COAL MINING,JOHNSON & TOWERS INC.,DEFENSE LOGISTICS AGENCY
1343.2,2021M06,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"PONSKI, BOGDAN M",DEFENSE LOGISTICS AGENCY
28284.75,2018M01,"BEARINGS, ANTIFRICTION, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,SKF USA INC.,DEFENSE LOGISTICS AGENCY
11306.25,2021M09,FUEL OILS,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
98.0,2021M09,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
64952.57,2021M09,CONSTRUCTION OF FAMILY HOUSING FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,TAHZIB ENGINEERING SERVICES,"STATE, DEPARTMENT OF"
16830.0,2016M03,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,JAMAICA BEARINGS CO INC,DEFENSE LOGISTICS AGENCY
242.5,2020M06,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"NEW ENTERPRISE STONE & LIME CO., INC.",DEPT OF THE ARMY
11935.23,2016M12,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"PIONEER SAND COMPANY, INC",U.S. FISH AND WILDLIFE SERVICE
23250.0,2016M09,"FOUNDRY MACHINERY, RELATED EQUIPMENT AND SUPPLIES",CONSTRUCTION SAND AND GRAVEL MINING,GLACIER BAY CONSTRUCTION INC,NATIONAL PARK SERVICE
4686.84,2016M11,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
1599.84,2018M05,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
5050.1,2018M09,UTILITIES- GAS,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY
19774.68,2017M12,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",DIMENSION STONE MINING AND QUARRYING,DAMON PURSELL CONSTRUCTION COMPANY,DEPT OF THE ARMY
0.0,2017M04,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"TIGER NATURAL GAS, INC.",DEFENSE LOGISTICS AGENCY
11711.1,2017M05,"OILS AND GREASES: CUTTING, LUBRICATING, AND HYDRAULIC",SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MISCELLANEOUS FOREIGN AWARDEES,AGENCY FOR INTERNATIONAL DEVELOPMENT
2140605.9,2018M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"RIVERSIDE CONSTRUCTION CO., INC.",DEPT OF THE ARMY
30262.6,2019M06,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY
520.0,2016M02,"BUSHINGS, RINGS, SHIMS, AND SPACERS",SUPPORT ACTIVITIES FOR COAL MINING,ALL-SAFE INC.,DEFENSE LOGISTICS AGENCY
196.0,2016M04,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,STEALTH SUPPLY INC,DEFENSE LOGISTICS AGENCY
32970.18,2021M04,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"CROWLEY HOLDINGS, LLC",FOREST SERVICE
13750.0,2018M04,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,OUTBACK INC.,DEPT OF THE ARMY
152767.28,2017M10,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE
490.0,2018M01,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
48537.0,2017M07,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MURRAY MASONRY, INC.",NATIONAL PARK SERVICE
38262.09,2018M12,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,"OHIO GENERAL CONTRACTING, LLC",DEPT OF THE AIR FORCE
0.0,2021M04,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"SCANA ENERGY MARKETING, LLC",DEFENSE LOGISTICS AGENCY
109691.0,2018M06,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),"VINE LABORATORIES, INC.",FEDERAL HIGHWAY ADMINISTRATION
0.0,2018M12,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,BARNREUTHER+DEUERLEIN SCHOTTERWERKE GMBH & CO.KG,DEPT OF THE ARMY
160091.56,2019M09,UTILITIES- GAS,NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC","VETERANS AFFAIRS, DEPARTMENT OF"
42000.88,2019M06,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE AIR FORCE
37543.96,2019M02,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
0.0,2018M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"JUSTICE TRUCKING AND BACKHOE SERVICE, INC.",NATIONAL PARK SERVICE
316788.02,2020M10,UTILITIES- GAS,NATURAL GAS EXTRACTION,"SYMMETRY ENERGY SOLUTIONS, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS
1664.0,2017M06,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,FEDERAL RESOURCES SUPPLY COMPANY,DEFENSE LOGISTICS AGENCY
601.51,2016M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,JANES GRAVEL CO,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS
15291.09,2018M01,CHEMICALS,OTHER CHEMICAL AND FERTILIZER MINERAL MINING,GOVERNMENT MLO SUPPLIES USA INC,NATIONAL PARK SERVICE
0.0,2018M05,ARCHITECT AND ENGINEERING- CONSTRUCTION: MAINTENANCE BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
7054.32,2021M01,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
325.45,2020M12,O-RING,SUPPORT ACTIVITIES FOR COAL MINING,ALL-SAFE INC.,DEFENSE LOGISTICS AGENCY
19980.0,2016M11,"MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIPS, SMALL CRAFT, PONTOONS, AND FLOATING DOCKS",SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),HUCO BLASTING SERVICES LLC,DEPT OF THE NAVY
2907.52,2019M02,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,"POLYTECHNIC INDUSTRIES, INC.",DEFENSE LOGISTICS AGENCY
29392.34,2016M07,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
159990.2,2018M09,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
11863.04,2020M06,CONSTRUCTION OF FAMILY HOUSING FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
7020.0,2016M03,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING","COCA-COLA REFRESHMENTS USA, INC.",DEPT OF THE NAVY
16458.0,2018M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,AMERICAN CLASSIC CONSTRUCTION INC.,BUREAU OF LAND MANAGEMENT
7068.0,2018M01,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"HEDBERG AGGREGATES, INC.","VETERANS AFFAIRS, DEPARTMENT OF"
7533.42,2016M04,ARCHITECT AND ENGINEERING- CONSTRUCTION: OFFICE BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
5944.56,2017M11,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"DAVIS AIRCRAFT PRODUCTS CO., INC.",DEFENSE LOGISTICS AGENCY
354223.32,2017M01,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY
12478.68,2017M08,HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"J & K SERVICES, LLC",FEDERAL AVIATION ADMINISTRATION
116313.33,2017M07,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"SPECIALIZED GOVERNMENT SOURCING, INC.",BUREAU OF LAND MANAGEMENT
86.2,2018M07,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
63606.19,2018M06,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE
29980.5,2017M06,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"CLI CONSTRUCTION, INC.",NATIONAL PARK SERVICE
535799.09,2017M12,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE
10689.84,2018M11,HOUSEKEEPING- SNOW REMOVAL/SALT,OTHER CHEMICAL AND FERTILIZER MINERAL MINING,"COMMODITIESUSA, INC.",NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY
6750.0,2016M08,MISCELLANEOUS VEHICULAR COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AUGUSTA ENGINE PARTS, INC.",DEFENSE LOGISTICS AGENCY
98.0,2019M06,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
2628.0,2021M07,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,DELA TECHNOLOGY CORPORATION,DEFENSE LOGISTICS AGENCY
109999.98,2017M06,SUPPORT- PROFESSIONAL: OTHER,SUPPORT ACTIVITIES FOR COAL MINING,MISCELLANEOUS FOREIGN AWARDEES,CENTERS FOR DISEASE CONTROL AND PREVENTION
7196.41,2020M12,"QUALITY CONTROL- FUELS, LUBRICANTS, OILS, AND WAXES",SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"JF ACQUISITION, LLC","VETERANS AFFAIRS, DEPARTMENT OF"
207896.42,2017M02,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY
9900.0,2016M05,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,JAMAICA BEARINGS CO INC,DEFENSE LOGISTICS AGENCY
75091.63,2017M11,CONSTRUCTION OF MAINTENANCE BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
16486.21,2017M09,CONSTRUCTION OF FAMILY HOUSING FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
17445.64,2019M05,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,GADDIE SHAMROCK LLC,DEPT OF THE ARMY
3871.15,2019M01,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"BROWN HELICOPTER, INC.",DEFENSE LOGISTICS AGENCY
132898.38,2018M03,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE
36321.73,2018M07,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
36272.27,2018M08,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
29144.08,2016M08,ARCHITECT AND ENGINEERING- CONSTRUCTION: FAMILY HOUSING FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
15437.79,2019M12,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,DEFENSE LOGISTICS AGENCY
8779.32,2020M07,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
29980.5,2020M02,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"BRADLEY CONTRACTING, INC.",U.S. FISH AND WILDLIFE SERVICE
82721.77,2021M09,"MINERAL CONSTRUCTION MATERIALS, BULK",DIMENSION STONE MINING AND QUARRYING,"PAVLICH, INC",DEPT OF THE ARMY
15090.4,2017M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"BOXLEY AGGREGATES OF WEST VIRGINIA, L.L.C.",FOREST SERVICE
173839.28,2018M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"AMG COMPANY, INC.",BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION
3610.64,2019M12,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
12240.34,2020M05,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
0.0,2020M07,O-RING,SUPPORT ACTIVITIES FOR COAL MINING,III WILLIAMS LLC,DEFENSE LOGISTICS AGENCY
2099.16,2018M06,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY
0.0,2018M12,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"DAVIS AIRCRAFT PRODUCTS CO., INC.",DEFENSE LOGISTICS AGENCY
120000.0,2017M05,"WALLBOARD, BUILDING PAPER, AND THERMAL INSULATION MATERIALS",CONSTRUCTION SAND AND GRAVEL MINING,GECOBA,DEPT OF THE AIR FORCE
0.0,2018M08,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",CONSTRUCTION SAND AND GRAVEL MINING,BOWMAN CONSTRUCTION CO INC,FOREST SERVICE
